,carat,cut,price,x,y,z
0,2.19,Good,13978,8.26,8.17,5.23
1,1.22,Ideal,5099,6.89,6.95,4.22
2,0.7,Ideal,2874,5.77,5.73,3.51
3,0.4,Very Good,1033,,4.76,2.9
4,1.03,Ideal,5037,6.54,6.5,3.97
5,0.52,Premium,1911,5.15,5.2,3.16
6,1.75,Ideal,7409,7.78,7.75,4.78
7,0.36,Ideal,1094,4.59,4.62,2.8
8,0.41,Ideal,1105,4.78,4.81,2.93
9,0.33,Premium,666,4.44,4.52,2.7
10,0.31,Very Good,471,,4.41,2.59
11,,Very Good,9818,7.41,7.47,4.58
12,0.72,Ideal,2647,5.7,5.72,3.58
13,0.43,Very Good,774,4.78,4.85,3.06
14,1,Premium,4200,6.4,6.28,3.96
15,0.26,Ideal,397,4.09,4.1,2.55
16,0.46,Ideal,1955,4.95,ᛏᚩ ᚱᚢᚾᛖ,3.11
17,0.4,Very Good,882,,4.68,2.98
18,0.38,,871,4.74,4.77,2.79
19,2.01,Good,17115,7.99,8.04,4.99
20,1.51,Fair,11102,7.55,7.39,4.36
21,0.32,Ideal,645,4.4,4.42,2.71
22,0.56,Ideal,2429,5.27,5.34,3.26
23,0.35,Very Good,,4.54,4.58,2.77
24,0.31,Premium,872,4.39,4.32,2.67
25,1.07,Ideal,6917,6.58,6.52,4.05
26,0.9,Good,4485,6.1,6.14,3.83
27,0.71,Ideal,2633,5.76,5.69,3.52
28,0.82,Ideal,2986,6,,3.71
29,1.07,,5264,6.55,6.61,4.07
30,0.28,Good,492,4.15,4.18,2.69
31,1.07,Ideal,4918,6.56,6.51,4.05
32,0.72,Ideal,2456,5.75,,3.56
33,0.57,Ideal,1571,5.35,5.3,3.27
34,1.02,Ideal,4207,6.47,6.51,4.01
35,1,Premium,4930,6.55,6.49,3.96
36,0.79,IDEAL,3417,5.91,5.94,3.7
37,0.53,,1308,5.13,,3.23
38,0.51,Very Good,1569,5.07,,3.19
39,0.3,Very Good,394,4.24,4.27,2.68
40,0.74,Ideal,2557,5.86,5.88,3.57
41,0.76,Premium,2789,5.92,,3.58
42,1.71,Very Good,9170,7.58,7.65,4.77
43,0.91,Very Good,3189,6.23,6.28,3.77
44,1.5,Good,9954,7.46,7.34,4.42
45,0.5,Ideal,1746,5.14,5.09,3.15
46,0.5,Ideal,1779,5.13,5.14,3.13
47,0.92,Ideal,3181,6.21,6.26,3.85
48,1.51,Premium,9513,7.3,7.28,4.59
49,2.06,Ideal,14120,8.1,8.14,5.07
50,0.7,Very Good,1940,5.75,,3.46
51,0.34,Ideal,805,4.45,4.48,2.78
52,,Premium,4815,6.67,6.73,3.99
53,2,Good,,7.88,8.01,5.07
54,0.59,Ideal,1684,,5.4,3.34
55,0.9,Premium,4386,,6.21,3.82
56,1.01,Ideal,5154,6.43,6.47,3.98
57,1.23,Ideal,6750,6.94,,4.27
58,1.56,Ideal,11047,7.48,7.52,4.59
59,1.02,Premium,4207,6.5,6.54,3.9
60,0.65,,5052,5.58,5.61,3.41
61,0.71,Premium,2853,5.73,5.66,3.57
62,0.3,Good,775,4.23,4.27,2.7
63,0.47,Ideal,782,5.01,5.05,3.11
64,0.32,Ideal,758,4.34,4.38,2.72
65,0.58,Very Good,2714,5.44,5.49,3.28
66,0.58,Premium,1439,5.42,5.33,3.21
67,0.54,Ideal,1381,5.22,5.25,3.22
68,0.79,Ideal,2846,5.96,5.91,3.65
69,1.5,Good,8518,7.2,7.16,4.58
70,,Ideal,8451,6.54,,4.01
71,1.2,Ideal,6569,6.87,6.82,4.19
72,0.25,Very Good,388,4.05,4.07,2.54
73,1.04,Premium,8722,6.68,6.66,3.95
74,1.51,Fair,8869,7.16,7.09,4.65
75,0.4,Ideal,1168,4.75,4.78,2.95
76,,Premium,11020,7.9,7.84,4.62
77,0.4,Ideal,,4.71,4.65,2.94
78,1.1,Ideal,5273,6.62,6.65,4.1
79,0.81,Ideal,3192,5.97,6.02,3.73
80,1.5,,12606,7.12,7.1,4.65
81,0.36,Premium,1013,,4.55,2.8
82,0.91,Ideal,3267,6.23,6.26,3.79
83,0.41,Good,827,4.67,4.7,2.94
